file_path;concept_name;pattern;match_type;matched_text;similarity_score
torchquantum/sec2_gate.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);name;RandomLayer;0.9207
torchquantum/sec3_gate.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);name;RandomLayer;0.9207
torchquantum/sec1_basic.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);name;RandomLayer;0.9207
torchquantum/quanvolution.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);name;RandomLayer;0.9207
qiskit-addon-cutting/how_to_provide_multiple_observables.py;/qiskit/qiskit.circuit.library.n_local.efficient_su2.EfficientSU2;Variational Quantum Algorithm (VQA);name;EfficientSU2;1.0000
quimb/ex_circuit_to_mpo.py;/pennylane/pennylane.templates.tensornetworks.mps.MPS;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 Converting a Circuit to an MPO This example shows how to convert a quantum circuit (that is sufficiently shallow) i...;0.6518
quimb/tensor-basics.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000
quimb/ex_MERA.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000
quimb/ex_tn_train_circuit.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 (example-tn-training-circuits)= Tensor Network Training of Quantum Circuits Here we'll run through constructing a t...;0.6815
quimb/tensor-circuit.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000
quimb/tensor-1d.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000
quimb/tensor-1d.py;/pennylane/pennylane.templates.tensornetworks.mps.MPS;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 (tensor-network-1d)= 1D Algorithms Although `quimb.tensor` aims to be an interactive and general base for arbitrary...;0.6572
catalyst/tutorial_qft_arithmetics.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000
catalyst/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000
catalyst/tutorial_qft_arithmetics.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000
catalyst/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.flip_sign.FlipSign;Phase Shift;name;FlipSign;1.0000
catalyst/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.grover.GroverOperator;Grover;name;GroverOperator;1.0000
catalyst/tutorial_qft_arithmetics.py;/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;Grover;name;GroverOperator;1.0000
